,0
0,0.108694546
1,0.14488347
2,0.009539077
3,0.071515195
4,-0.06387558
5,-0.064611845
6,0.09942314
7,-0.029628018
8,-0.024171991
9,-0.039300814
10,0.15389124
11,-0.028831406
